bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
123014,凯发转债,2018/7/27,370407,380407,1.2659,3.50亿,3.50亿,2018/7/31,2018/8/21,300407,凯发电气,8.14,0.454,2023/7/27
123015,蓝盾转债,2018/8/13,370297,380297,0.4578,5.38亿,5.38亿,2018/8/15,2018/9/13,300297,蓝盾股份,5.79,1.272,2024/8/13
123016,洲明转债,2018/11/7,370232,380232,0.7199,5.48亿,5.48亿,2018/11/9,2018/12/3,300232,洲明科技,7.82,0.306,2024/11/7
123017,寒锐转债,2018/11/20,370618,380618,2.2916,4.40亿,4.40亿,2018/11/22,2018/12/24,300618,寒锐钴业,57.49,0.372,2024/11/20
123018,溢利转债,2018/12/20,370381,380381,1.6348,6.65亿,6.65亿,2018/12/24,2019/1/23,300381,溢多利,8.35,2.348,2024/12/20
123019,中来转债,2019/2/25,370393,380393,4.1494,10.00亿,10.00亿,2019/2/27,2019/3/22,300393,中来股份,13.29,0.061,2025/2/25
123020,富祥转债,2019/3/1,370497,380497,1.8709,4.20亿,4.20亿,2019/3/5,2019/3/29,300497,富祥股份,14.93,0.041,2025/3/1
123021,万信转2,2019/3/4,370168,380168,1.094,12.00亿,12.00亿,2019/3/6,2019/3/25,300168,万达信息,13.6,0.017,2025/3/3
123022,长信转债,2019/3/18,370088,380088,0.535,12.30亿,12.30亿,2019/3/20,2019/4/10,300088,长信科技,6.25,0.011,2025/3/18
123023,迪森转债,2019/3/20,370335,380335,1.6532,6.00亿,6.00亿,2019/3/22,2019/4/16,300335,迪森股份,7.19,0.022,2025/3/20
123024,岱勒转债,2019/3/21,370700,380700,2.5485,2.10亿,2.10亿,2019/3/25,2019/4/17,300700,岱勒新材,24.9,0.016,2024/3/21
123025,精测转债,2019/3/29,370567,380567,2.2919,3.75亿,3.75亿,2019/4/2,2019/4/19,300567,精测电子,50.25,0.021,2025/3/29
123026,中环转债,2019/6/10,370692,380692,1.8124,2.90亿,2.90亿,2019/6/12,2019/7/1,300692,中环环保,12.31,0.054,2024/6/9
123027,蓝晓转债,2019/6/11,370487,380487,1.6461,3.40亿,3.40亿,2019/6/13,2019/7/4,300487,蓝晓科技,29.58,0.022,2025/6/10
123028,清水转债,2019/6/19,370437,380437,2.2443,4.90亿,4.90亿,2019/6/21,2019/7/15,300437,清水源,11.95,0.086,2025/6/18
123029,英科转债,2019/8/16,370677,380677,2.3687,4.70亿,4.70亿,2019/8/20,2019/9/10,300677,英科医疗,16.25,0.04,2025/8/15
123030,九洲转债,2019/8/20,370040,380040,0.8978,3.08亿,3.08亿,2019/8/22,2019/9/12,300040,九洲电气,5.7,0.041,2025/8/19
